Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
104,15,0,1,2,0,2,3,0,4,1,3,1,5,2,0,0,1,1,0
105,17,0,1,2,0,5,5,0,0,0,1,0,4,0,0,2,0,5,1
106,25,0,0,4,1,4,3,1,6,2,1,1,4,0,0,2,0,0,1
107,13,3,1,3,0,1,2,1,3,2,3,0,3,0,0,1,1,3,1
108,17,1,1,6,0,10,3,0,2,2,2,1,5,0,1,2,1,1,1
109,29,1,0,2,1,6,5,0,6,2,3,0,2,2,1,0,1,4,0
110,24,0,0,4,0,1,1,1,4,1,2,0,2,2,0,1,1,1,0
111,22,2,2,5,1,3,1,0,3,1,5,0,2,2,1,2,0,0,0
112,27,0,1,2,0,7,5,0,1,2,4,1,3,1,1,1,0,1,1
113,15,2,1,3,0,7,5,1,4,2,3,0,4,2,1,0,1,1,1
114,28,2,1,1,1,0,2,0,1,0,5,0,3,1,0,1,1,0,1
115,28,3,2,2,0,4,4,0,4,1,1,1,1,2,0,2,0,5,1
116,25,0,1,4,1,8,2,0,4,2,3,1,4,1,0,2,1,4,0
117,20,1,2,1,0,1,1,0,5,1,4,1,2,2,1,2,1,2,0
118,14,3,2,6,0,2,4,0,6,2,1,1,4,1,1,1,0,4,0
119,20,3,1,3,1,6,3,0,1,2,3,1,2,0,1,2,0,0,1
120,13,2,1,2,0,5,5,0,3,2,5,1,3,2,1,1,1,0,0
121,24,3,1,5,1,5,2,0,2,1,4,1,4,1,1,1,1,4,0
122,24,2,0,2,0,1,4,0,1,0,3,1,5,1,0,0,1,5,0
123,28,1,2,3,0,9,2,1,4,1,1,0,5,1,0,2,0,1,0
124,20,3,1,2,1,2,3,1,5,2,5,1,3,1,0,1,1,1,0
125,15,3,2,3,1,5,3,1,5,2,4,1,2,2,1,0,1,0,0
126,27,1,1,3,0,8,2,0,3,2,1,0,5,2,0,1,1,4,0
127,26,3,1,0,1,7,3,0,5,1,1,1,4,0,1,1,1,1,0
128,17,2,2,6,1,10,4,0,3,1,1,1,4,0,0,2,1,4,1
129,24,1,0,5,1,7,5,1,2,2,1,1,1,0,1,1,0,5,1
130,28,3,0,5,1,4,4,1,6,2,2,0,4,0,0,1,0,4,0
131,24,2,0,1,0,6,3,0,3,0,2,0,4,0,1,1,1,0,1
132,12,3,1,5,0,2,4,1,0,2,3,1,2,0,1,0,0,4,1
133,12,2,1,4,1,4,2,1,1,0,3,0,5,0,0,1,0,1,1
134,15,0,1,5,1,7,1,0,1,0,1,1,3,2,1,1,0,4,1
135,23,2,2,3,0,8,5,1,2,1,3,0,1,0,1,0,0,3,1
136,30,2,2,4,0,10,5,0,1,2,4,1,3,1,0,0,0,5,0
137,18,2,2,5,0,4,5,1,1,2,3,1,4,1,0,0,1,1,1
138,19,2,2,3,1,4,5,0,1,2,1,1,5,0,0,1,0,2,0
139,15,2,2,3,0,1,3,1,5,0,5,0,4,2,1,1,0,3,1
140,17,3,2,5,0,1,3,1,5,1,1,1,2,1,1,2,1,0,0
141,12,0,0,3,1,9,2,1,1,0,4,1,4,0,1,2,0,0,1
142,30,2,1,2,0,6,2,0,1,0,1,1,2,1,0,2,0,1,1
143,25,2,2,5,1,2,5,1,4,0,3,1,4,1,1,1,0,3,1
144,16,3,0,5,1,6,1,0,2,1,1,0,2,0,0,0,0,2,1
145,12,2,2,4,1,6,3,0,4,2,1,0,1,1,1,1,0,5,0
146,13,0,0,0,1,7,3,1,6,1,2,1,3,0,0,1,0,0,0
147,27,2,2,2,1,7,3,1,3,0,4,1,1,1,0,0,0,1,0
148,22,3,2,2,0,2,1,0,3,1,5,1,1,2,1,0,1,1,1
149,26,0,0,5,0,7,4,1,2,1,5,1,5,2,0,1,1,2,0
150,25,1,0,4,0,5,3,1,6,0,5,0,2,1,1,2,1,3,0
151,23,0,0,3,1,5,5,0,5,2,4,1,1,2,1,0,0,0,0
152,16,0,0,4,0,6,4,0,6,1,2,1,2,1,1,0,0,1,1
153,14,1,1,1,1,3,5,1,4,1,4,0,5,1,0,0,0,2,0
154,15,1,0,1,0,0,5,0,4,0,3,0,3,0,1,2,0,0,0
155,16,0,1,6,0,3,5,0,5,0,2,0,2,1,1,2,0,1,1
156,28,2,0,3,1,4,2,0,4,0,3,0,5,2,1,1,0,4,0
157,17,3,1,0,0,1,2,1,5,2,1,0,5,1,1,2,1,2,1
158,26,3,0,3,0,7,1,1,5,2,5,1,4,1,1,1,0,3,0
159,13,3,1,6,0,3,3,0,4,0,1,0,3,0,1,2,0,2,0
160,27,1,1,4,0,9,1,1,1,1,5,0,1,2,1,1,1,3,0
161,28,3,0,1,0,2,3,1,2,0,5,1,3,0,1,1,0,2,1
162,16,3,1,5,0,6,5,0,0,0,3,1,4,2,1,1,0,5,0
163,24,3,2,2,0,4,3,1,6,2,2,0,3,0,0,1,0,2,1
164,14,0,2,3,0,1,5,1,3,2,1,1,3,1,0,1,0,1,1
165,22,1,1,3,1,5,4,0,2,2,2,1,2,1,0,2,0,5,1
166,26,1,2,3,0,0,1,1,5,1,2,0,5,0,0,0,1,0,1
167,26,2,1,0,0,6,5,1,3,0,1,1,4,0,0,2,1,4,0
168,17,0,2,4,1,5,1,0,0,1,3,1,5,2,1,0,0,0,1
169,14,2,2,0,0,7,2,1,3,1,3,1,3,2,0,1,1,0,0
170,30,3,0,5,1,3,4,0,5,1,3,1,3,1,1,0,0,2,1
171,15,0,2,6,1,4,4,0,3,2,5,0,1,0,1,0,1,3,0
172,16,0,2,6,0,0,4,0,3,0,4,1,3,0,0,1,1,5,1
173,20,3,2,6,1,10,1,1,0,0,2,1,2,0,0,2,1,5,1
174,18,3,0,5,0,1,4,0,3,2,1,0,5,2,0,0,1,2,1
175,25,0,2,6,0,1,3,1,3,1,4,1,1,1,0,2,1,0,1
176,29,1,0,5,1,9,3,0,2,1,3,1,2,0,1,2,0,3,1
177,22,1,1,4,1,7,5,0,5,1,4,1,5,0,1,1,1,4,1
178,29,3,0,6,1,10,3,1,0,2,2,0,2,0,0,1,1,1,1
179,16,3,1,5,1,10,5,0,0,0,3,1,4,2,1,0,0,2,1
180,12,3,0,3,1,3,5,0,1,2,2,0,5,2,0,2,0,3,1
181,16,1,1,1,1,10,3,1,5,2,5,0,3,1,1,2,1,1,1
182,26,2,0,1,0,9,4,0,5,2,2,0,3,0,0,2,1,5,0
183,22,1,2,6,0,3,4,0,4,0,5,0,2,0,1,2,0,1,0
184,27,2,2,6,0,3,4,0,6,2,4,0,3,0,0,1,0,0,0
185,28,2,1,1,1,5,2,0,4,2,4,1,1,1,1,2,0,4,1
186,22,0,2,1,0,7,2,0,1,0,1,1,1,0,0,0,1,4,0
187,23,2,0,1,1,3,2,1,3,1,3,0,5,2,0,2,1,4,0
188,29,0,2,5,0,2,2,0,2,0,4,1,2,2,0,1,1,4,1
189,26,0,1,3,1,9,1,0,2,2,2,1,3,1,1,0,0,2,0
190,29,3,1,0,1,1,3,0,5,1,3,1,3,1,0,0,1,0,1
191,30,2,2,0,0,9,2,0,1,2,1,0,4,0,1,2,0,5,1
192,19,1,2,0,0,6,1,0,6,2,5,1,4,1,0,1,1,5,0
193,14,3,2,5,0,10,3,0,0,0,1,1,2,0,1,2,1,5,1
194,23,1,1,6,0,1,5,1,6,1,5,1,3,2,0,0,1,5,1
195,16,3,1,3,1,5,3,0,4,2,1,0,5,1,0,2,0,2,1
196,13,3,0,0,0,1,2,0,3,0,2,1,2,0,0,1,1,3,0
197,29,1,0,6,0,2,5,0,0,2,3,0,2,0,1,1,1,0,0
198,12,3,0,1,0,6,5,0,0,0,2,0,3,1,0,1,0,0,0
199,26,2,0,3,0,9,3,0,6,0,2,0,1,2,1,0,0,2,0
200,25,0,2,0,1,10,2,0,4,2,5,0,5,0,1,2,1,0,0
201,20,3,2,0,0,8,5,1,6,2,5,0,4,2,0,2,1,5,1
202,22,3,1,4,0,10,4,1,6,0,2,0,5,0,0,1,0,0,1
203,22,2,2,3,1,4,1,0,0,1,2,0,2,2,0,2,1,5,0
204,26,3,1,0,1,6,5,0,6,0,5,0,3,2,1,1,1,4,0
205,18,3,1,4,0,3,2,0,3,1,2,0,5,0,1,0,1,3,1
206,26,2,0,6,0,2,2,1,4,0,5,1,3,0,0,1,1,5,1
207,25,3,1,2,1,2,1,0,6,2,2,1,5,0,0,2,0,4,0
208,26,1,1,5,1,5,2,1,2,0,1,1,4,0,1,0,1,3,1
209,12,1,0,6,0,5,2,1,5,0,3,1,4,2,0,2,0,2,1
210,18,1,0,3,1,4,2,1,4,0,3,1,5,1,0,2,0,4,1
211,26,3,2,1,0,1,1,1,5,2,5,1,1,1,0,0,0,1,1
212,15,3,1,3,0,8,4,0,5,2,4,0,5,1,1,1,0,4,1
213,25,2,2,3,0,10,4,1,1,0,3,1,4,0,1,0,1,1,0
214,14,2,0,4,0,8,2,0,5,0,2,1,4,0,0,2,1,5,0
215,20,1,2,1,1,9,3,0,3,2,4,0,4,1,1,1,1,4,1
216,25,2,0,1,0,8,1,1,2,2,2,0,5,2,1,0,0,0,1
217,24,3,1,4,1,5,1,0,4,0,4,0,2,0,1,2,1,2,1
218,22,3,2,1,0,3,3,1,1,0,5,1,4,0,0,1,1,2,1
219,15,2,0,0,0,1,2,0,2,2,5,1,1,2,1,0,0,1,0
220,18,0,1,1,0,8,2,1,5,0,2,0,1,2,0,2,1,0,0
221,16,0,0,2,1,7,5,0,3,1,1,0,1,0,0,1,0,0,0
222,22,2,2,1,0,2,5,1,3,1,3,1,4,2,1,2,0,1,1
223,14,0,2,4,1,2,1,1,5,2,3,0,5,1,0,0,1,5,0
224,18,0,2,3,0,1,4,0,5,0,5,0,4,0,1,0,1,5,0
225,21,3,2,6,1,1,4,1,3,2,5,0,4,0,0,0,1,0,1
226,26,0,2,2,1,0,1,0,1,1,1,0,2,2,0,1,1,0,1
227,12,3,0,5,0,0,2,0,6,1,2,1,5,1,1,0,0,3,1
228,29,0,2,6,1,3,3,0,6,1,2,1,5,0,0,1,0,2,1
229,28,0,2,1,1,6,4,0,2,2,1,0,4,1,0,1,1,5,1
230,25,1,0,5,0,5,1,0,1,1,3,1,3,0,1,0,0,1,0
231,27,3,2,5,1,2,1,1,2,0,1,0,1,0,0,2,1,4,1
232,26,1,1,5,1,5,2,1,2,2,1,0,3,0,1,2,0,0,0
233,14,0,0,0,1,7,5,0,4,2,2,1,4,1,0,2,0,3,1
234,16,2,2,1,1,0,3,0,5,1,1,0,5,0,0,1,0,2,0
235,15,2,2,0,0,5,4,1,2,1,3,1,2,0,0,0,0,5,1
236,20,0,2,4,1,6,2,1,1,0,4,0,5,0,0,1,0,0,0
237,14,3,2,4,0,2,4,1,6,0,5,0,3,1,0,1,0,5,1
238,25,0,2,6,1,7,1,1,0,2,1,0,2,1,1,2,1,4,1
239,15,0,2,4,1,2,1,0,6,0,4,1,5,0,0,2,0,4,0
240,27,0,0,6,0,0,1,1,4,0,3,0,5,2,1,0,0,2,1
241,22,0,1,6,0,3,3,0,2,2,3,0,5,1,1,0,0,2,1
242,14,2,0,2,1,0,4,0,6,2,4,1,2,2,1,1,0,4,1
243,22,0,0,1,0,9,5,1,2,2,4,0,5,2,1,1,0,5,1
244,16,0,2,5,1,6,2,0,3,0,4,1,3,1,1,1,0,0,0
245,24,2,1,2,0,6,2,0,0,2,4,1,4,2,1,2,1,0,1
246,21,3,1,0,0,6,4,0,6,1,5,0,3,2,0,0,0,2,0
247,17,3,2,2,0,6,4,0,2,1,4,0,2,0,0,1,1,3,1
248,18,1,0,3,0,4,3,1,3,1,4,0,2,2,1,2,1,1,1
249,21,3,1,5,0,6,1,1,6,0,5,1,5,2,0,1,1,5,1
250,12,0,1,1,1,7,3,0,6,1,5,1,3,0,0,1,0,3,1
251,22,3,0,5,0,7,5,1,4,2,3,1,5,2,1,0,1,1,1
252,22,2,1,5,0,3,1,1,2,2,1,0,1,0,0,0,0,1,0
253,18,2,2,4,1,9,4,0,1,2,1,1,4,2,1,1,1,0,1
254,27,3,0,5,0,9,1,1,2,0,2,1,2,1,0,2,1,3,0
255,26,3,2,2,1,9,2,0,2,1,2,0,1,0,1,2,0,2,0
256,21,2,1,4,0,4,4,0,0,1,3,1,1,0,1,0,1,0,0
257,22,1,2,5,0,2,2,0,4,2,2,1,1,0,0,0,1,0,0
258,25,0,0,5,0,2,1,1,6,1,1,1,2,1,1,2,1,0,0
259,16,0,1,5,0,6,5,0,0,2,1,1,5,0,0,2,0,5,0
260,29,3,0,4,0,8,1,1,0,0,1,1,1,1,0,2,0,1,1
261,15,0,2,0,1,9,2,0,2,2,4,1,5,1,1,2,1,3,0
262,13,1,1,1,0,2,3,0,4,0,4,0,2,2,1,1,0,2,0
263,21,0,1,6,1,4,5,0,3,2,5,0,1,0,1,2,0,1,1
264,16,1,2,5,0,1,1,0,0,0,5,1,4,2,1,1,1,3,1
265,29,2,2,4,1,4,1,1,3,2,2,1,2,0,1,0,0,0,0
266,25,2,2,3,1,6,3,1,0,1,2,0,3,1,1,1,1,4,0
267,16,3,0,2,0,10,3,0,5,0,3,0,1,1,1,1,1,4,1
268,17,2,0,2,1,9,2,1,1,1,2,1,3,2,1,2,0,5,1
269,26,3,2,6,0,2,2,0,3,1,4,1,2,0,1,2,0,2,0
270,15,1,2,2,1,2,5,0,0,1,5,1,5,0,1,0,0,4,1
271,18,0,2,6,0,4,1,1,4,2,5,1,5,2,0,2,1,2,0
272,14,1,0,4,0,0,3,1,2,2,3,0,4,2,0,1,0,5,0
273,30,2,0,3,1,0,5,1,3,0,2,0,1,1,1,1,1,0,1
274,27,0,0,1,1,7,5,1,0,2,4,0,2,2,1,2,1,1,1
275,14,1,0,0,0,1,1,0,1,0,5,0,2,2,1,2,0,1,0
276,15,0,0,2,0,6,5,1,6,2,4,0,5,0,1,2,0,5,0
277,30,3,1,5,0,0,3,1,4,1,1,0,4,1,0,1,0,1,0
278,26,0,0,4,0,8,5,0,2,0,4,0,4,1,0,1,1,3,0
279,13,1,1,5,0,3,1,0,1,2,5,0,3,1,1,1,0,4,1
280,29,2,0,2,0,5,2,0,1,0,3,0,1,2,1,1,1,2,0
281,14,0,0,5,0,6,5,1,6,1,5,1,5,1,1,1,1,5,0
282,20,2,2,6,0,6,5,1,0,0,2,0,4,0,0,1,1,0,0
283,15,0,2,2,1,1,2,0,1,2,2,1,1,2,0,1,1,2,1
284,28,2,1,5,0,0,2,1,2,2,4,1,1,1,0,0,0,3,0
285,13,3,2,3,1,4,1,1,5,0,2,1,5,1,0,2,0,0,1
286,12,1,0,1,1,0,2,1,3,2,4,1,2,0,0,0,0,0,1
287,23,3,1,1,0,4,5,0,1,1,4,0,3,0,0,1,0,4,1
288,26,0,2,0,1,10,5,0,5,0,4,1,1,2,0,2,1,0,1
289,26,3,0,4,1,5,4,0,6,0,4,0,2,2,1,2,1,1,0
290,14,3,0,2,0,5,1,0,1,2,5,0,5,2,1,1,1,3,1
291,15,3,0,4,1,0,4,0,0,0,2,0,4,2,1,1,1,1,0
292,26,3,2,3,0,1,5,0,1,2,2,1,2,2,1,0,1,3,1
293,20,0,1,1,1,4,1,0,1,0,2,1,1,2,1,0,1,3,1
294,29,2,2,2,0,8,5,1,1,2,4,1,5,1,1,2,0,0,0
295,14,3,2,2,1,8,3,0,4,1,3,0,2,0,0,1,0,5,0
296,12,3,2,1,1,6,3,1,5,0,3,0,5,2,0,2,0,1,0
297,26,2,1,5,0,7,4,1,1,1,3,0,3,1,1,0,1,0,0
298,19,2,2,6,1,5,3,1,0,0,3,1,3,2,0,1,1,5,0
299,12,3,0,1,1,5,3,0,5,0,3,1,3,2,0,2,1,2,1
300,19,1,2,2,0,8,3,0,2,2,4,1,2,1,0,0,0,3,0
301,27,3,2,0,0,8,4,1,1,0,1,0,5,0,0,0,1,1,1
302,27,2,2,1,0,9,3,1,1,2,5,0,5,0,1,0,1,2,0
303,14,0,2,5,1,2,1,1,4,0,3,0,1,0,0,1,1,5,0
304,25,1,0,2,1,5,3,1,2,0,1,0,2,1,1,2,1,4,0
305,30,0,0,2,0,3,4,1,3,1,2,0,1,0,0,0,0,5,1
306,23,1,0,3,0,7,1,0,4,1,5,0,4,1,0,1,0,1,0
307,16,0,2,0,0,1,5,1,0,0,3,1,2,0,1,2,1,1,1
308,22,3,0,1,0,7,3,0,2,0,4,0,3,2,0,2,0,4,0
309,24,0,1,5,0,1,4,1,5,1,3,0,4,1,0,0,0,5,0
310,24,3,0,3,0,8,2,1,1,1,4,1,5,2,1,0,0,0,1
311,20,2,2,1,1,1,4,1,4,2,1,0,2,0,1,0,1,0,1
312,15,3,1,2,1,3,3,1,6,1,5,1,5,1,0,0,1,0,0
313,17,3,1,0,0,3,1,1,6,0,5,0,5,1,0,1,0,4,0
314,17,1,2,2,0,9,2,0,5,1,5,1,1,2,0,0,0,5,0
315,20,0,0,2,1,5,4,1,5,1,1,0,4,0,1,0,0,0,0
316,23,1,0,2,1,9,3,1,2,2,5,0,1,1,1,2,0,2,1
317,22,0,2,6,1,9,5,1,5,0,4,1,1,1,0,0,0,5,1
318,25,2,1,2,0,4,2,0,0,0,1,1,3,2,1,1,0,1,0
319,25,3,2,6,0,5,4,0,3,0,5,1,5,2,0,2,1,0,0
320,12,3,0,4,0,3,4,0,3,1,2,1,4,0,1,0,1,5,1
321,17,2,1,4,0,8,3,0,2,0,5,0,5,0,1,1,0,3,1
322,13,2,0,6,0,2,5,1,3,2,4,0,1,0,0,2,1,2,0
323,27,0,0,3,1,7,4,0,6,1,1,0,4,1,0,1,0,3,0
324,29,2,2,5,1,6,2,1,6,1,3,0,2,2,1,0,1,4,1
325,20,3,1,5,1,6,4,1,0,0,4,1,2,0,1,1,0,3,1
326,28,3,2,6,0,0,5,1,4,1,5,1,2,0,1,2,1,5,1
327,24,3,0,3,0,5,2,0,2,1,2,1,1,1,0,1,0,1,1
328,14,1,1,2,1,3,4,0,4,2,4,0,4,2,0,2,1,3,1
329,22,1,0,1,0,9,1,0,5,1,3,0,3,1,0,2,0,0,0
330,25,0,1,0,1,4,5,0,5,1,1,0,1,1,1,0,1,2,0
331,19,2,2,3,0,10,1,1,6,0,1,0,2,1,0,0,0,2,0
332,19,1,2,1,0,10,2,0,4,2,5,1,5,0,1,0,1,5,1
333,20,3,0,2,0,10,2,1,5,1,2,1,5,2,0,2,0,0,0
334,29,1,2,0,0,8,3,0,5,1,4,0,3,1,1,1,0,5,1
335,14,1,2,3,1,0,2,1,3,2,2,1,4,0,1,0,0,3,0
336,20,0,0,3,1,0,2,0,0,1,2,1,1,0,1,1,0,4,0
337,23,2,2,1,0,2,5,0,5,1,2,1,3,0,0,2,0,5,0
